City,Cloudiness(%),Humidity(%),Latitude,Longitude,Temperature(F),Wind Speed(mph),Initial Cluster,Cluster
taksimo,3,83,56.34,114.88,-1.79,3.91,4,10
sanmenxia,0,36,34.77,111.18,40.62,5.97,6,7
altay,83,27,47.87,88.12,18.36,6.06,0,5
banjar,40,100,-8.19,114.97,77.0,2.24,9,1
rawson,52,59,-43.3,-65.1,63.5,36.53,9,1
olinda,90,66,-8.01,-34.86,84.2,10.29,10,0
kovur,5,93,14.48,79.98,72.19,4.63,1,3
talcahuano,40,64,-36.72,-73.12,69.8,11.41,9,1
tilichiki,27,85,60.47,166.1,11.35,6.62,8,8
jumla,15,61,29.27,82.18,25.12,6.67,8,8
puerto del rosario,40,72,28.5,-13.86,65.43,20.8,9,1
progreso,5,26,21.28,-89.67,92.8,11.41,5,4
palatka,1,38,29.65,-81.64,78.58,4.65,5,4
sao jose do belmonte,100,84,-7.86,-38.76,73.11,5.01,2,2
moindou,100,88,-21.69,165.68,78.8,3.36,2,2
komsomolskiy,84,52,40.43,71.72,44.6,6.93,0,5
midland,90,93,32.0,-102.08,54.03,13.87,7,6
smithers,20,31,54.78,-127.17,19.4,12.75,6,7
batetskiy,81,78,58.65,30.3,30.83,5.77,7,6
norman wells,90,65,65.28,-126.83,5.0,9.17,3,9
leogane,20,62,18.51,-72.63,84.2,11.41,1,3
anadyr,75,67,64.75,177.48,19.18,13.42,3,9
motygino,93,98,58.18,94.76,22.51,4.81,3,9
paamiut,62,66,61.99,-49.67,5.05,10.67,3,9
kemin,87,45,42.78,75.69,33.85,5.88,0,5
vanimo,100,77,-2.67,141.3,82.54,10.65,2,2
phillipsburg,1,20,40.69,-75.19,60.04,8.05,5,4
shimoda,75,66,34.67,138.95,46.33,5.82,7,6
kiunga,100,72,-6.12,141.29,82.87,3.09,2,2
nanortalik,100,69,60.14,-45.24,22.96,13.67,3,9
challans,90,76,46.84,-1.87,47.77,5.82,7,6
buloh kasap,20,88,2.55,102.76,78.66,3.36,1,3
maragogi,69,72,-9.01,-35.22,81.9,11.56,10,0
at-bashi,97,49,41.17,75.81,6.75,5.21,3,9
